,0,1,2,3
0,2.1419232,4.9029837,2.1943836,3.567866
1,1.7289678,4.673451,2.4030113,3.9052157
2,1.2383002,5.7743,1.5737634,3.5335896
3,1.2108027,0.6049095,0.64413404,0.6524861
4,1.1112676,0.35301346,3.9710412,4.173498
5,0.1674791,0.13480264,0.17695893,0.4693126
6,2.7217138,4.005903,2.222419,3.1528103
7,1.2234426,5.5899725,2.5121055,3.5627613
8,1.6124032,0.4777794,2.0151746,3.5655313
9,1.3275888,4.356252,1.7858337,4.3189907
10,3.0355837,3.8369832,3.9875922,3.4536982
11,5.868779,0.8909168,2.2032688,4.2527246
12,4.7398996,0.94933224,2.5990963,4.7648563
13,1.4367299,4.9542437,2.7729826,4.0607653
14,1.5091072,5.664115,1.1506441,1.8105499
15,1.4517419,0.496913,2.7323763,2.9755034
16,2.9958375,3.9881485,3.1650348,1.5660319
17,3.3530502,3.8473036,1.9529413,1.327339
18,1.3343061,0.5975772,1.1682106,2.2335393
19,2.6244767,4.9176216,2.7992005,4.1488457
20,2.6715477,5.0260863,3.6193986,3.908052
21,2.5851686,5.0415215,3.1488504,3.8979173
22,2.3678648,4.527184,4.0757546,3.9244218
23,1.1254165,0.4335226,1.2263925,1.3647195
24,1.1360612,0.39915678,2.0845964,3.7218509
25,2.2642794,4.699173,2.580974,4.0372024
26,0.98467535,5.4372196,2.4690897,0.8418235
27,1.7948066,4.381821,2.5779026,3.7901835
28,3.7399685,1.9773638,3.298547,3.7606885
29,1.1778044,0.6004325,1.0835625,0.50674206
30,3.2043252,4.3182425,3.4072242,3.332524
31,3.520575,1.917143,3.0249174,3.9062724
32,0.92591685,0.61462617,0.87452805,0.83671945
33,3.6368887,4.2604637,2.312587,1.4919657
34,0.8734261,0.50326544,0.69920385,0.8496066
35,0.1803981,0.12433421,0.13157335,0.4323718
36,6.8619733,0.7973766,2.8077955,3.9855917
37,0.8816406,0.30018032,3.497779,3.1295447
38,1.1543193,0.4753318,2.432039,3.5362701
39,0.17003195,0.14519522,0.16746557,0.5393901
40,3.37205,3.738001,3.1725924,2.6665394
41,2.5006905,4.142895,4.155859,2.8316445
42,1.155037,5.793331,1.6355016,1.7889334
43,1.6800073,5.245069,1.7503939,0.8271023
44,1.2499872,0.5681394,2.2605555,3.007893
45,3.0368087,1.800069,3.4804568,3.8344662
46,0.9510002,0.5072181,1.0756805,1.4625893
47,1.0922903,0.42892772,1.5773509,4.1019487
48,2.743036,3.539936,1.8326364,1.2403895
49,2.5969088,3.9985828,1.82277,1.2252845
50,0.12836465,0.14003833,0.14060079,0.54741824
51,1.0479286,5.0238748,2.677179,3.8920736
52,1.8085486,4.075844,3.2292678,3.669472
53,1.0982833,0.7093371,0.87081486,0.8300971
54,1.3630178,0.6489558,0.8558298,1.0988511
55,5.522145,1.0787668,0.43832266,1.4666108
56,0.13080338,0.11282758,0.12331511,0.53708625
57,2.7509723,4.1209707,2.020108,1.5354636
58,0.12687345,0.122574836,0.13424814,0.54416317
59,0.94740456,5.4598274,1.2419358,0.6764354
60,0.15037224,0.12191875,0.11960457,0.4846727
61,0.96109277,0.4559473,0.69705737,0.86062896
62,1.3420851,0.3774709,2.4818752,3.26329
63,1.1989746,0.3737624,0.5016455,0.8733666
64,0.9704294,6.1171265,1.0367292,0.51588607
65,1.1045012,0.5525473,4.0413756,3.5856833
66,3.0507035,4.354014,4.137889,3.8282964
67,4.9878902,1.0659213,0.61027205,1.6569122
68,3.4042413,2.436133,2.6155453,4.1013618
69,0.17252792,0.12497249,0.17687064,0.41261017
70,1.391125,5.441404,1.3361381,0.6677267
71,1.0189382,0.71986634,1.8886646,3.9431357
72,0.9099612,0.5087401,1.275152,1.5160345
73,2.888479,4.3362083,2.2420158,2.8996565
74,3.1427126,4.3293734,5.0738797,3.5294075
75,2.6744406,4.1195683,2.5151646,1.9697762
76,1.4701208,0.456378,0.8830287,1.5048168
77,3.8749728,2.1940703,4.466431,4.0461135
78,3.452778,2.493877,1.3679421,4.1009045
79,4.574643,0.9004102,0.43915674,1.5937834
80,2.8249297,5.5283785,4.4730453,4.143587
81,1.0040463,0.36631835,2.0053365,1.3720682
82,2.518065,5.954769,1.2275001,0.92182565
83,1.219399,4.728438,1.3350496,0.71657836
84,5.4707494,0.8680058,2.085242,4.4668245
85,0.97926813,0.4411322,3.086344,3.8384793
86,2.6345825,5.128209,3.1153316,3.4586875
87,1.2973169,0.39715165,1.5855054,3.6798322
88,0.13008478,0.13325359,0.1254963,0.46281612
89,0.96839285,0.43753457,0.35794377,0.62725586
90,1.1253852,0.44994396,2.3053854,3.292501
91,5.433026,0.8906154,2.416115,3.892362
92,2.2655563,4.8529043,3.480749,4.251536
93,1.0991157,0.38184792,3.8193889,3.2576244
94,1.3632462,4.5501385,2.3981411,3.7608974
